T20I Match No,Match ID,Match Name,Series ID,Series Name,Match Date,Match Format,Team1 ID,Team1 Name,Team1 Captain,Team1 Runs Scored,Team1 Wickets Fell,Team1 Extras Rec,Team2 ID,Team2 Name,Team2 Captain,Team2 Runs Scored,Team2 Wickets Fell,Team2 Extras Rec,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Umpire 1,Umpire 2,Match Referee,Toss Winner,Toss Winner Choice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
134,406207,Australia Vs Pakistan Only T20I,406187,Pakistan tour of Australia  - 2009 (2009/10),05/02/10,T20,2,Australia,MJ Clarke,127,10,2,7,Pakistan,Shoaib Malik,125,9,5,Melbourne Cricket Ground,Melbourne,Australia,PR Reiffel,RJ Tucker,RS Madugalle,Australia,bat,Australia,Australia won by 2 runs,SW Tait,"['SR Watson', 'DA Warner', 'MJ Clarke', 'DJ Hussey', 'CL White', 'TR Birt', 'BJ Haddin', 'SPD Smith', 'MG Johnson', 'DP Nannes', 'SW Tait']","['Imran Farhat', 'Imran Nazir', 'Kamran Akmal', 'Khalid Latif', 'Shoaib Malik', 'Umar Akmal', 'Fawad Alam', 'Naved-ul-Hasan', 'Umar Gul', 'Saeed Ajmal', 'Mohammad Asif']","['Imran Farhat', 'SPD Smith', 'TR Birt']"
135,439495,Afghanistan Vs Ireland 2Nd Match Group A,410068,ICC World Twenty20 Qualifier in United Arab Emirates - 2010 (2009/10),09/02/10,T20,40,Afghanistan,Nawroz Mangal,139,8,9,29,Ireland,WTS Porterfield,126,10,11,Dubai International Cricket Stadium,Dubai,United Arab Emirates,JJ Luck,SR Modi,DT Jukes,Ireland,bowl,Afghanistan,Afghanistan won by 13 runs,Mohammad Nabi,"['Noor Ali Zadran', 'Karim Sadiq', 'Shafiqullah', 'Mohammad Shahzad', 'Nawroz Mangal', 'Mohammad Nabi', 'Samiullah Shinwari', 'Raees Ahmadzai', 'Mirwais Ashraf', 'Hamid Hassan', 'Shapoor Zadran']","['WTS Porterfield', ""NJ O'Brien"", 'PR Stirling', 'AC Botha', ""KJ O'Brien"", 'AR Cusack', 'GC Wilson', 'DT Johnston', 'JF Mooney', 'PC Connell', 'GH Dockrell']",[]
136,439497,Canada Vs Netherlands 4Th Match Group B,410068,ICC World Twenty20 Qualifier in United Arab Emirates - 2010 (2009/10),09/02/10,T20,17,Canada,Rizwan Cheema,142,7,5,15,Netherlands,PW Borren,146,4,10,Dubai International Cricket Stadium,Dubai,United Arab Emirates,Aleem Dar,SR Modi,DT Jukes,Canada,bat,Netherlands,Netherlands won by 6 wickets (with 5 balls remaining),B Zuiderent,"['Rizwan Cheema', 'JM Davison', 'H Patel', 'GEF Barnett', 'A Bagai', 'IS Billcliff', 'S Dhaniram', 'U Bhatti', 'Khurram Chohan', 'HS Baidwan', 'Usman Limbada']","['AN Kervezee', 'ES Szwarczynski', 'B Zuiderent', 'PW Borren', 'RN ten Doeschate', 'DLS van Bunge', 'Mudassar Bukhari', 'AF Buurman', 'TN de Grooth', 'E Schiferli', 'PM Seelaar']","['AF Buurman', 'AF Buurman', 'IS Billcliff', 'IS Billcliff']"
137,439500,Afghanistan Vs Scotland 5Th Match Group A,410068,ICC World Twenty20 Qualifier in United Arab Emirates - 2010 (2009/10),10/02/10,T20,40,Afghanistan,Nawroz Mangal,131,7,12,30,Scotland,GM Hamilton,117,9,4,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,PK Baldwin,SR Modi,DT Jukes,Scotland,bowl,Afghanistan,Afghanistan won by 14 runs,Noor Ali Zadran,"['Noor Ali Zadran', 'Karim Sadiq', 'Shafiqullah', 'Mohammad Shahzad', 'Nawroz Mangal', 'Mohammad Nabi', 'Raees Ahmadzai', 'Samiullah Shinwari', 'Mirwais Ashraf', 'Shapoor Zadran', 'Hamid Hassan']","['KJ Coetzer', 'NS Poonia', 'GM Hamilton', 'NFI McCallum', 'JH Stander', 'DF Watts', 'RD Berrington', 'GD Drummond', 'SJS Smith', 'RM Haq', 'JD Nel']",[]
138,439499,Canada Vs Kenya 6Th Match Group B,410068,ICC World Twenty20 Qualifier in United Arab Emirates - 2010 (2009/10),10/02/10,T20,17,Canada,Rizwan Cheema,138,9,6,26,Kenya,MA Ouma,141,1,6,Dubai International Cricket Stadium,Dubai,United Arab Emirates,JJ Luck,Sarika Prasad,Ishtiaq Ahmed,Kenya,bowl,Kenya,Kenya won by 9 wickets (with 31 balls remaining),AA Obanda,"['Rizwan Cheema', 'JM Davison', 'H Patel', 'GEF Barnett', 'A Bagai', 'IS Billcliff', 'U Bhatti', 'Khurram Chohan', 'S Dhaniram', 'HS Baidwan', 'Arsalan Qadir']","['AA Obanda', 'SO Tikolo', 'CO Obuya', 'MA Ouma', 'SO Ngoche', 'LN Onyango', 'NN Odhiambo', 'JK Kamande', 'HA Varaiya', 'AO Suji', 'RR Patel']","['Arsalan Qadir', 'Arsalan Qadir']"
139,439506,Kenya Vs Netherlands 11Th Match Group B,410068,ICC World Twenty20 Qualifier in United Arab Emirates - 2010 (2009/10),11/02/10,T20,26,Kenya,MA Ouma,130,10,7,15,Netherlands,PW Borren,133,3,11,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,JJ Luck,Sarika Prasad,Ishtiaq Ahmed,Netherlands,bowl,Netherlands,Netherlands won by 7 wickets (with 5 balls remaining),PM Seelaar,"['AA Obanda', 'SO Tikolo', 'MA Ouma', 'CO Obuya', 'RR Patel', 'JK Kamande', 'AO Suji', 'NN Odhiambo', 'LN Onyango', 'SO Ngoche', 'HA Varaiya']","['AN Kervezee', 'ES Szwarczynski', 'B Zuiderent', 'RN ten Doeschate', 'DLS van Bunge', 'PW Borren', 'Mudassar Bukhari', 'AF Buurman', 'MBS Jonkman', 'PM Seelaar', 'Mohammad Kashif']","['MBS Jonkman', 'MBS Jonkman', 'Mohammad Kashif']"
140,439505,Ireland Vs Scotland 12Th Match Group A,410068,ICC World Twenty20 Qualifier in United Arab Emirates - 2010 (2009/10),11/02/10,T20,29,Ireland,WTS Porterfield,136,7,18,30,Scotland,GM Hamilton,99,10,5,Dubai International Cricket Stadium,Dubai,United Arab Emirates,Aleem Dar,PK Baldwin,DT Jukes,Ireland,bat,Ireland,Ireland won by 37 runs,DT Johnston,"['WTS Porterfield', ""NJ O'Brien"", 'AC Botha', 'AR Cusack', 'GC Wilson', 'AR White', 'JF Mooney', ""KJ O'Brien"", 'DT Johnston', 'GH Dockrell', 'PC Connell']","['DF Watts', 'GM Hamilton', 'RD Berrington', 'KJ Coetzer', 'NFI McCallum', 'JH Stander', 'GD Drummond', 'SJS Smith', 'RT Lyons', 'RM Haq', 'JD Nel']",[]
141,439507,Afghanistan Vs Netherlands 13Th Match Super Four,410068,ICC World Twenty20 Qualifier in United Arab Emirates - 2010 (2009/10),12/02/10,T20,40,Afghanistan,Nawroz Mangal,128,9,5,15,Netherlands,PW Borren,132,6,18,Dubai International Cricket Stadium,Dubai,United Arab Emirates,Sarika Prasad,SR Modi,DT Jukes,Netherlands,bowl,Netherlands,Netherlands won by 4 wickets (with 7 balls remaining),RN ten Doeschate,"['Karim Sadiq', 'Nawroz Mangal', 'Mohammad Shahzad', 'Mohammad Nabi', 'Raees Ahmadzai', 'Noor Ali Zadran', 'Shafiqullah', 'Samiullah Shinwari', 'Mirwais Ashraf', 'Hamid Hassan', 'Shapoor Zadran']","['AN Kervezee', 'ES Szwarczynski', 'DLS van Bunge', 'B Zuiderent', 'RN ten Doeschate', 'PW Borren', 'AF Buurman', 'Mudassar Bukhari', 'MBS Jonkman', 'PM Seelaar', 'Mohammad Kashif']",[]
142,439510,Ireland Vs Netherlands 16Th Match Super Four,410068,ICC World Twenty20 Qualifier in United Arab Emirates - 2010 (2009/10),13/02/10,T20,29,Ireland,WTS Porterfield,151,6,7,15,Netherlands,PW Borren,86,10,8,Dubai International Cricket Stadium,Dubai,United Arab Emirates,Aleem Dar,SR Modi,Ishtiaq Ahmed,Ireland,bat,Ireland,Ireland won by 65 runs,AR Cusack,"['WTS Porterfield', ""NJ O'Brien"", 'AR Cusack', 'DT Johnston', 'GC Wilson', ""KJ O'Brien"", 'JF Mooney', 'AR White', 'AC Botha', 'GH Dockrell', 'PC Connell']","['AN Kervezee', 'ES Szwarczynski', 'Mudassar Bukhari', 'B Zuiderent', 'RN ten Doeschate', 'DLS van Bunge', 'PW Borren', 'AF Buurman', 'MBS Jonkman', 'PM Seelaar', 'Mohammad Kashif']",[]
143,439511,Afghanistan Vs Ireland 17Th Match Final,410068,ICC World Twenty20 Qualifier in United Arab Emirates - 2010 (2009/10),13/02/10,T20,29,Ireland,WTS Porterfield,142,8,15,40,Afghanistan,Nawroz Mangal,147,2,11,Dubai International Cricket Stadium,Dubai,United Arab Emirates,PK Baldwin,Sarika Prasad,DT Jukes,Ireland,bat,Afghanistan,Afghanistan won by 8 wickets (with 15 balls remaining),Mohammad Shahzad,"['WTS Porterfield', ""NJ O'Brien"", 'AR Cusack', ""KJ O'Brien"", 'GC Wilson', 'NG Jones', 'JF Mooney', 'DT Johnston', 'AR White', 'PC Connell', 'GH Dockrell']","['Karim Sadiq', 'Noor Ali Zadran', 'Mohammad Shahzad', 'Nawroz Mangal', 'Hamid Hassan', 'Mirwais Ashraf', 'Mohammad Nabi', 'Samiullah Shinwari', 'Asghar Afghan', 'Shapoor Zadran', 'Raees Ahmadzai']",['NG Jones']
144,440945,England Vs Pakistan 1St T20I,440941,Pakistan tour of United Arab Emirates  - 2010 (2009/10),19/02/10,T20,7,Pakistan,Shoaib Malik,129,8,3,1,England,PD Collingwood,130,3,15,Dubai International Cricket Stadium,Dubai,United Arab Emirates,EAR de Silva,HDPK Dharmasena,RS Madugalle,Pakistan,bat,England,England won by 7 wickets (with 9 balls remaining),EJG Morgan,"['Imran Nazir', 'Imran Farhat', 'Khalid Latif', 'Umar Akmal', 'Shoaib Malik', 'Fawad Alam', 'Abdul Razzaq', 'Sarfaraz Ahmed', 'Yasir Arafat', 'Umar Gul', 'Saeed Ajmal']","['IJL Trott', 'JL Denly', 'KP Pietersen', 'PD Collingwood', 'EJG Morgan', 'LJ Wright', 'MJ Prior', 'TT Bresnan', 'SCJ Broad', 'GP Swann', 'RJ Sidebottom']",['Sarfaraz Ahmed']
145,440946,England Vs Pakistan 2Nd T20I,440941,Pakistan tour of United Arab Emirates  - 2010 (2009/10),20/02/10,T20,1,England,PD Collingwood,148,6,8,7,Pakistan,Shoaib Malik,149,6,9,Dubai International Cricket Stadium,Dubai,United Arab Emirates,EAR de Silva,Enamul Haque,RS Madugalle,Pakistan,bowl,Pakistan,Pakistan won by 4 wickets (with 6 balls remaining),Abdul Razzaq,"['IJL Trott', 'JL Denly', 'KP Pietersen', 'EJG Morgan', 'LJ Wright', 'PD Collingwood', 'TT Bresnan', 'MJ Prior', 'SCJ Broad', 'A Shahzad', 'GP Swann']","['Imran Nazir', 'Imran Farhat', 'Umar Akmal', 'Shoaib Malik', 'Shahid Afridi', 'Fawad Alam', 'Abdul Razzaq', 'Yasir Arafat', 'Sarfaraz Ahmed', 'Umar Gul', 'Saeed Ajmal']",['A Shahzad']
146,406197,Australia Vs West Indies 1St T20I,406183,West Indies tour of Australia  - 2009 (2009/10),21/02/10,T20,2,Australia,MJ Clarke,179,8,3,4,West Indies,CH Gayle,141,8,6,Bellerive Oval,Hobart,Australia,BNJ Oxenford,PR Reiffel,J Srinath,Australia,bat,Australia,Australia won by 38 runs,SW Tait,"['SR Watson', 'DA Warner', 'MJ Clarke', 'DJ Hussey', 'CL White', 'TR Birt', 'BJ Haddin', 'MG Johnson', 'SPD Smith', 'SW Tait', 'DP Nannes']","['CH Gayle', 'LMP Simmons', 'N Deonarine', 'KA Pollard', 'WW Hinds', 'RS Morton', 'DR Smith', 'D Ramdin', 'DJG Sammy', 'NO Miller', 'KAJ Roach']",['N Deonarine']
147,406198,Australia Vs West Indies 2Nd T20I,406183,West Indies tour of Australia  - 2009 (2009/10),23/02/10,T20,4,West Indies,CH Gayle,138,7,11,2,Australia,MJ Clarke,142,2,3,Sydney Cricket Ground,Sydney,Australia,BNJ Oxenford,RJ Tucker,J Srinath,West Indies,bat,Australia,Australia won by 8 wickets (with 50 balls remaining),DA Warner,"['CH Gayle', 'TM Dowlin', 'RS Morton', 'KA Pollard', 'WW Hinds', 'DR Smith', 'N Deonarine', 'D Ramdin', 'DJG Sammy', 'NO Miller', 'KAJ Roach']","['SR Watson', 'DA Warner', 'BJ Haddin', 'DT Christian', 'MJ Clarke', 'DJ Hussey', 'CL White', 'MG Johnson', 'SPD Smith', 'RJ Harris', 'SW Tait']","['DT Christian', 'RJ Harris']"
148,423787,New Zealand Vs Australia 1St T20I,423776,Australia tour of New Zealand  - 2010 (2009/10),26/02/10,T20,5,New Zealand,DL Vettori,118,10,5,2,Australia,MJ Clarke,119,4,5,Westpac Stadium,Wellington,New Zealand,BF Bowden,GAV Baxter,RS Madugalle,New Zealand,bat,Australia,Australia won by 6 wickets (with 24 balls remaining),MG Johnson,"['BB McCullum', 'PJ Ingram', 'MJ Guptill', 'LRPL Taylor', 'JEC Franklin', 'GJ Hopkins', 'JDP Oram', 'NL McCullum', 'DL Vettori', 'DR Tuffey', 'SE Bond']","['DA Warner', 'SR Watson', 'MJ Clarke', 'MG Johnson', 'DJ Hussey', 'CL White', 'BJ Haddin', 'DT Christian', 'SPD Smith', 'SW Tait', 'DP Nannes']",[]
149,423788,New Zealand Vs Australia 2Nd T20I,423776,Australia tour of New Zealand  - 2010 (2009/10),28/02/10,T20,5,New Zealand,DL Vettori,214,6,18,2,Australia,MJ Clarke,214,4,6,AMI Stadium,Christchurch,New Zealand,CB Gaffaney,AL Hill,RS Madugalle,New Zealand,bat,,Match tied (New Zealand won the one-over eliminator),BB McCullum,"['BB McCullum', 'PJ Ingram', 'MJ Guptill', 'LRPL Taylor', 'JEC Franklin', 'GJ Hopkins', 'JDP Oram', 'NL McCullum', 'DL Vettori', 'SE Bond', 'TG Southee']","['DA Warner', 'BJ Haddin', 'MJ Clarke', 'DJ Hussey', 'CL White', 'TR Birt', 'SPD Smith', 'DT Christian', 'RJ Harris', 'SW Tait', 'DP Nannes']",[]
150,439139,West Indies Vs Zimbabwe Only T20I,439109,Zimbabwe tour of West Indies  - 2010 (2009/10),28/02/10,T20,9,Zimbabwe,P Utseya,105,10,14,4,West Indies,D Ramdin,79,7,10,Queen's Park Oval,Port of Spain,West Indies,CR Duncan,NA Malcolm,RS Mahanama,Zimbabwe,bat,Zimbabwe,Zimbabwe won by 26 runs,AG Cremer,"['V Sibanda', 'H Masakadza', 'T Taibu', 'S Matsikenyeri', 'BRM Taylor', 'GA Lamb', 'E Chigumbura', 'AG Cremer', 'SW Masakadza', 'P Utseya', 'RW Price']","['AB Barath', 'S Chanderpaul', 'ADS Fletcher', 'KA Pollard', 'DM Bravo', 'D Ramdin', 'DR Smith', 'DJG Sammy', 'R Rampaul', 'SJ Benn', 'KAJ Roach']","['AB Barath', 'DM Bravo', 'GA Lamb', 'SW Masakadza']"
151,412678,New Zealand Vs Sri Lanka 1St Match Group B,412671,ICC World Twenty20 in West Indies - 2010 (2010),30/04/10,T20,8,Sri Lanka,KC Sangakkara,135,6,4,5,New Zealand,DL Vettori,139,8,3,Providence Stadium,Providence,West Indies,RE Koertzen,SJ Davis,AG Hurst,Sri Lanka,bat,New Zealand,New Zealand won by 2 wickets (with 1 ball remaining),NL McCullum,"['DPMD Jayawardene', 'TM Dilshan', 'KC Sangakkara', 'LD Chandimal', 'CK Kapugedera', 'AD Mathews', 'ST Jayasuriya', 'SL Malinga', 'M Muralidaran', 'BAW Mendis', 'UWMBCA Welegedara']","['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'SB Styris', 'DL Vettori', 'JDP Oram', 'GJ Hopkins', 'NL McCullum', 'TG Southee', 'SE Bond']","['UWMBCA Welegedara', 'LD Chandimal']"
152,412677,West Indies Vs Ireland 2Nd Match Group D,412671,ICC World Twenty20 in West Indies - 2010 (2010),30/04/10,T20,4,West Indies,DJ Bravo,138,9,4,29,Ireland,WTS Porterfield,68,10,19,Providence Stadium,Providence,West Indies,Asad Rauf,BF Bowden,AG Hurst,West Indies,bat,West Indies,West Indies won by 70 runs,DJG Sammy,"['ADS Fletcher', 'S Chanderpaul', 'DJ Bravo', 'RR Sarwan', 'N Deonarine', 'D Ramdin', 'DJG Sammy', 'KA Pollard', 'NO Miller', 'R Rampaul', 'KAJ Roach']","['WTS Porterfield', 'PR Stirling', ""NJ O'Brien"", 'AR Cusack', 'GC Wilson', ""KJ O'Brien"", 'DT Johnston', 'JF Mooney', 'AC Botha', 'WB Rankin', 'GH Dockrell']",[]
153,412679,Afghanistan Vs India 3Rd Match Group C,412671,ICC World Twenty20 in West Indies - 2010 (2010),01/05/10,T20,40,Afghanistan,Nawroz Mangal,115,8,6,6,India,MS Dhoni,116,3,8,Beausejour Stadium,Gros Islet,West Indies,Aleem Dar,M Erasmus,RS Madugalle,India,bowl,India,India won by 7 wickets (with 31 balls remaining),A Nehra,"['Noor Ali Zadran', 'Karim Sadiq', 'Mohammad Shahzad', 'Nawroz Mangal', 'Asghar Stanikzai', 'Mohammad Nabi', 'Raees Ahmadzai', 'Samiullah Shinwari', 'Hamid Hassan', 'Shapoor Zadran', 'Dawlat Ahmadzai']","['G Gambhir', 'M Vijay', 'SK Raina', 'Yuvraj Singh', 'MS Dhoni', 'YK Pathan', 'RA Jadeja', 'Harbhajan Singh', 'P Kumar', 'Z Khan', 'A Nehra']",['M Vijay']
154,412680,Bangladesh Vs Pakistan 4Th Match Group A,412671,ICC World Twenty20 in West Indies - 2010 (2010),01/05/10,T20,7,Pakistan,Shahid Afridi,172,3,3,25,Bangladesh,Shakib Al Hasan,151,7,4,Beausejour Stadium,Gros Islet,West Indies,EAR de Silva,RJ Tucker,RS Madugalle,Pakistan,bat,Pakistan,Pakistan won by 21 runs,Salman Butt,"['Kamran Akmal', 'Salman Butt', 'Shahid Afridi', 'Abdul Razzaq', 'Misbah-ul-Haq', 'Mohammad Hafeez', 'Umar Akmal', 'Fawad Alam', 'Mohammad Amir', 'Mohammad Sami', 'Saeed Ajmal']","['Tamim Iqbal', 'Imrul Kayes', 'Mohammad Ashraful', 'Shakib Al Hasan', 'Mahmudullah', 'Naeem Islam', 'Mushfiqur Rahim', 'Mashrafe Mortaza', 'Sohrawordi Shuvo', 'Shafiul Islam', 'Abdur Razzak']","['Imrul Kayes', 'Mohammad Sami', 'Sohrawordi Shuvo']"
155,412682,India Vs South Africa 5Th Match Group C,412671,ICC World Twenty20 in West Indies - 2010 (2010),02/05/10,T20,6,India,MS Dhoni,186,5,5,3,South Africa,GC Smith,172,5,4,Beausejour Stadium,Gros Islet,West Indies,Aleem Dar,SJA Taufel,RS Madugalle,South Africa,bowl,India,India won by 14 runs,SK Raina,"['KD Karthik', 'M Vijay', 'SK Raina', 'Yuvraj Singh', 'YK Pathan', 'MS Dhoni', 'Harbhajan Singh', 'RA Jadeja', 'PP Chawla', 'P Kumar', 'A Nehra']","['JH Kallis', 'LE Bosman', 'GC Smith', 'AB de Villiers', 'JA Morkel', 'MV Boucher', 'JP Duminy', 'RE van der Merwe', 'RK Kleinveldt', 'DW Steyn', 'M Morkel']",['PP Chawla']
156,412683,Australia Vs Pakistan 6Th Match Group A,412671,ICC World Twenty20 in West Indies - 2010 (2010),02/05/10,T20,2,Australia,MJ Clarke,191,10,2,7,Pakistan,Shahid Afridi,157,10,10,Beausejour Stadium,Gros Islet,West Indies,EAR de Silva,SK Tarapore,RS Madugalle,Australia,bat,Australia,Australia won by 34 runs,SR Watson,"['DA Warner', 'SR Watson', 'MJ Clarke', 'DJ Hussey', 'MEK Hussey', 'CL White', 'BJ Haddin', 'MG Johnson', 'SPD Smith', 'DP Nannes', 'SW Tait']","['Kamran Akmal', 'Salman Butt', 'Mohammad Hafeez', 'Umar Akmal', 'Misbah-ul-Haq', 'Shahid Afridi', 'Abdul Razzaq', 'Fawad Alam', 'Mohammad Amir', 'Mohammad Sami', 'Saeed Ajmal']",[]
157,412686,Sri Lanka Vs Zimbabwe 7Th Match Group B,412671,ICC World Twenty20 in West Indies - 2010 (2010),03/05/10,T20,8,Sri Lanka,KC Sangakkara,173,7,14,9,Zimbabwe,P Utseya,29,1,2,Providence Stadium,Providence,West Indies,BR Doctrove,IJ Gould,AG Hurst,Sri Lanka,bat,Sri Lanka,Sri Lanka won by 14 runs (D/L method),DPMD Jayawardene,"['DPMD Jayawardene', 'TM Dilshan', 'NLTC Perera', 'KC Sangakkara', 'LD Chandimal', 'AD Mathews', 'CK Kapugedera', 'ST Jayasuriya', 'SL Malinga', 'S Randiv', 'BAW Mendis']","['H Masakadza', 'T Taibu', 'BRM Taylor', 'CR Ervine', 'E Chigumbura', 'CK Coventry', 'GA Lamb', 'AG Cremer', 'P Utseya', 'RW Price', 'CB Mpofu']","['CK Coventry', 'CR Ervine', 'S Randiv', 'NLTC Perera']"
158,412685,West Indies Vs England 8Th Match Group D,412671,ICC World Twenty20 in West Indies - 2010 (2010),03/05/10,T20,1,England,PD Collingwood,191,5,7,4,West Indies,CH Gayle,60,2,8,Providence Stadium,Providence,West Indies,RE Koertzen,AL Hill,AG Hurst,West Indies,bowl,West Indies,West Indies won by 8 wickets (with 1 ball remaining) (D/L method),DJG Sammy,"['MJ Lumb', 'C Kieswetter', 'KP Pietersen', 'PD Collingwood', 'EJG Morgan', 'LJ Wright', 'TT Bresnan', 'SCJ Broad', 'GP Swann', 'MH Yardy', 'RJ Sidebottom']","['CH Gayle', 'S Chanderpaul', 'KA Pollard', 'ADS Fletcher', 'RR Sarwan', 'N Deonarine', 'DJ Bravo', 'DJG Sammy', 'NO Miller', 'SJ Benn', 'R Rampaul']","['C Kieswetter', 'MJ Lumb']"
159,412684,New Zealand Vs Zimbabwe 9Th Match Group B,412671,ICC World Twenty20 in West Indies - 2010 (2010),04/05/10,T20,9,Zimbabwe,P Utseya,84,10,11,5,New Zealand,DL Vettori,36,1,6,Providence Stadium,Providence,West Indies,Asad Rauf,SJ Davis,AG Hurst,New Zealand,bowl,New Zealand,New Zealand won by 7 runs (D/L method),NL McCullum,"['T Taibu', 'H Masakadza', 'AM Blignaut', 'E Chigumbura', 'CR Ervine', 'CK Coventry', 'GA Lamb', 'T Maruma', 'AG Cremer', 'P Utseya', 'RW Price']","['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'SB Styris', 'GJ Hopkins', 'JDP Oram', 'DL Vettori', 'NL McCullum', 'SE Bond', 'TG Southee']",['AM Blignaut']
160,412681,England Vs Ireland 10Th Match Group D,412671,ICC World Twenty20 in West Indies - 2010 (2010),04/05/10,T20,1,England,PD Collingwood,120,8,7,29,Ireland,WTS Porterfield,14,1,1,Providence Stadium,Providence,West Indies,BF Bowden,AL Hill,AG Hurst,Ireland,bowl,,No result,,"['MJ Lumb', 'C Kieswetter', 'KP Pietersen', 'PD Collingwood', 'EJG Morgan', 'LJ Wright', 'TT Bresnan', 'GP Swann', 'MH Yardy', 'SCJ Broad', 'RJ Sidebottom']","['WTS Porterfield', 'PR Stirling', ""NJ O'Brien"", 'AR Cusack', ""KJ O'Brien"", 'DT Johnston', 'GC Wilson', 'JF Mooney', 'AC Botha', 'GH Dockrell', 'WB Rankin']",[]
161,412688,Australia Vs Bangladesh 11Th Match Group A,412671,ICC World Twenty20 in West Indies - 2010 (2010),05/05/10,T20,2,Australia,MJ Clarke,141,7,6,25,Bangladesh,Shakib Al Hasan,114,10,9,Kensington Oval,Bridgetown,West Indies,Aleem Dar,BR Doctrove,RS Madugalle,Australia,bat,Australia,Australia won by 27 runs,MEK Hussey,"['DA Warner', 'SR Watson', 'MJ Clarke', 'BJ Haddin', 'DJ Hussey', 'CL White', 'MEK Hussey', 'SPD Smith', 'RJ Harris', 'SW Tait', 'DP Nannes']","['Imrul Kayes', 'Mohammad Ashraful', 'Aftab Ahmed', 'Shakib Al Hasan', 'Mahmudullah', 'Mushfiqur Rahim', 'Naeem Islam', 'Jahurul Islam', 'Shafiul Islam', 'Mashrafe Mortaza', 'Abdur Razzak']",['Jahurul Islam']
162,412687,Afghanistan Vs South Africa 12Th Match Group C,412671,ICC World Twenty20 in West Indies - 2010 (2010),05/05/10,T20,3,South Africa,GC Smith,139,7,6,40,Afghanistan,Nawroz Mangal,80,10,11,Kensington Oval,Bridgetown,West Indies,IJ Gould,SJA Taufel,RS Madugalle,Afghanistan,bowl,South Africa,South Africa won by 59 runs,M Morkel,"['GC Smith', 'LE Bosman', 'JH Kallis', 'AB de Villiers', 'JP Duminy', 'MV Boucher', 'JA Morkel', 'RE van der Merwe', 'DW Steyn', 'M Morkel', 'CK Langeveldt']","['Noor Ali Zadran', 'Karim Sadiq', 'Mohammad Shahzad', 'Nawroz Mangal', 'Asghar Afghan', 'Raees Ahmadzai', 'Mohammad Nabi', 'Samiullah Shinwari', 'Mirwais Ashraf', 'Hamid Hassan', 'Shapoor Zadran']",[]
163,412689,England Vs Pakistan 13Th Match Group E,412671,ICC World Twenty20 in West Indies - 2010 (2010),06/05/10,T20,7,Pakistan,Shahid Afridi,147,9,10,1,England,PD Collingwood,151,4,6,Kensington Oval,Bridgetown,West Indies,BF Bowden,RE Koertzen,AG Hurst,England,bowl,England,England won by 6 wickets (with 3 balls remaining),KP Pietersen,"['Kamran Akmal', 'Salman Butt', 'Mohammad Hafeez', 'Umar Akmal', 'Shahid Afridi', 'Misbah-ul-Haq', 'Abdul Razzaq', 'Fawad Alam', 'Mohammad Amir', 'Saeed Ajmal', 'Mohammad Asif']","['MJ Lumb', 'C Kieswetter', 'KP Pietersen', 'PD Collingwood', 'EJG Morgan', 'LJ Wright', 'SCJ Broad', 'TT Bresnan', 'GP Swann', 'MH Yardy', 'RJ Sidebottom']",[]
164,412690,New Zealand Vs South Africa 14Th Match Group E,412671,ICC World Twenty20 in West Indies - 2010 (2010),06/05/10,T20,3,South Africa,GC Smith,170,4,8,5,New Zealand,DL Vettori,157,7,14,Kensington Oval,Bridgetown,West Indies,Aleem Dar,SJ Davis,AG Hurst,South Africa,bat,South Africa,South Africa won by 13 runs,JA Morkel,"['JH Kallis', 'GC Smith', 'HH Gibbs', 'AB de Villiers', 'JA Morkel', 'MV Boucher', 'JP Duminy', 'DW Steyn', 'J Botha', 'M Morkel', 'CK Langeveldt']","['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'SB Styris', 'GJ Hopkins', 'JDP Oram', 'NL McCullum', 'DL Vettori', 'SE Bond', 'TG Southee']",[]
165,412691,Australia Vs India 15Th Match Group F,412671,ICC World Twenty20 in West Indies - 2010 (2010),07/05/10,T20,2,Australia,MJ Clarke,184,5,1,6,India,MS Dhoni,135,10,10,Kensington Oval,Bridgetown,West Indies,BF Bowden,BR Doctrove,RS Madugalle,India,bowl,Australia,Australia won by 49 runs,DA Warner,"['SR Watson', 'DA Warner', 'DJ Hussey', 'BJ Haddin', 'CL White', 'MEK Hussey', 'SPD Smith', 'MJ Clarke', 'MG Johnson', 'SW Tait', 'DP Nannes']","['M Vijay', 'G Gambhir', 'SK Raina', 'RG Sharma', 'Yuvraj Singh', 'MS Dhoni', 'YK Pathan', 'RA Jadeja', 'Harbhajan Singh', 'Z Khan', 'A Nehra']",[]
